,Date,Open,High,Low,Volume,Close
0,2020-06-01,17244.46083429874,17449.14266828341,16821.921246098227,175186,16893.146484375
1,2020-06-02,17181.738261183797,17181.738261183797,16685.269884351514,132201,16727.001953125
2,2020-06-03,16884.838958399203,17225.92668389185,16862.227529226384,146101,17113.4609375
3,2020-06-04,17112.82408178616,17250.115185548977,16858.347539181297,97631,16906.076171875
4,2020-06-05,17024.442840860553,17165.026967801885,16670.083129499333,162096,16808.01171875
5,2020-06-08,16958.573584818983,16958.573584818983,16506.344955890476,147070,16551.763671875
6,2020-06-09,16370.675339171905,16698.049521729212,16241.888498586299,174685,16272.90625
7,2020-06-10,16368.71126310366,16547.636515348997,16132.76587552739,123440,16255.3583984375
8,2020-06-11,16330.648989160132,16626.672837906237,16316.587856344691,165131,16388.126953125
9,2020-06-12,16083.961129543013,16495.532534716942,16083.961129543013,140678,16277.66015625
10,2020-06-15,16281.309448640544,16429.321352719096,16153.0324651058,139654,16182.931640625
11,2020-06-16,16378.010648302798,16378.010648302798,16054.35794962565,193237,16125.501953125
12,2020-06-17,16128.364209696492,16222.105084576957,15901.561015236019,126959,15983.4609375
13,2020-06-18,16003.541239596563,16083.961044820668,15841.813172231938,158445,15964.515625
14,2020-06-19,16074.093174216374,16089.536135365492,15839.445155962394,168893,15881.529296875
15,2020-06-22,16074.093803074133,16074.093803074133,15852.075932865926,135915,15926.87109375
16,2020-06-23,16073.89589534899,16498.39424625089,15995.202896477069,244735,16329.1171875
17,2020-06-24,16439.190201146303,16636.539423248898,16300.207396928248,201069,16486.50390625
18,2020-06-25,16370.413683195882,16626.670860217357,16345.44823735908,169665,16564.505859375
19,2020-06-26,16626.670722624043,16705.610405580122,16409.586594494827,110341,16456.45703125
20,2020-06-29,16518.129275966257,16755.539995882817,16320.780061199635,169646,16503.1796875
21,2020-06-30,16576.345360079096,17068.731593466764,16531.843502789692,201033,16946.818359375
