,Date,Open,High,Low,Volume,Close
0,2020-06-01,20857.30078125,21464.69921875,20855.5,74696,21069.349609375
1,2020-06-02,21180.0,21340.0,20952.650390625,42170,21201.0
2,2020-06-03,21544.0,21740.0,21251.0,49111,21630.099609375
3,2020-06-04,21611.0,21869.5,21067.400390625,43072,21396.650390625
4,2020-06-05,21500.0,22430.0,21500.0,55227,22089.599609375
5,2020-06-08,22117.75,22296.5,21000.0,73282,21180.900390625
6,2020-06-09,21535.94921875,21585.0,20908.80078125,64086,21009.80078125
7,2020-06-10,21171.05078125,21611.05078125,21149.849609375,49867,21513.30078125
8,2020-06-11,21648.0,21648.0,21204.5,49993,21251.19921875
9,2020-06-12,20700.0,23137.25,20700.0,147217,22392.650390625
10,2020-06-15,22260.0,22361.05078125,21750.0,99776,22117.25
11,2020-06-16,22291.69921875,22539.94921875,21800.0,70316,22111.30078125
12,2020-06-17,21978.0,22079.5,21514.30078125,70852,21635.400390625
13,2020-06-18,21718.0,21998.94921875,21410.0,83639,21866.099609375
14,2020-06-19,21840.0,21930.0,21566.44921875,64309,21678.94921875
15,2020-06-22,21710.0,22199.94921875,21530.05078125,97692,22017.599609375
16,2020-06-23,22100.0,22943.099609375,22050.0,56193,22756.25
17,2020-06-24,22750.0,23068.0,22330.0,67022,22566.25
18,2020-06-25,22495.0,22619.099609375,21889.0,47016,22068.80078125
19,2020-06-26,22111.0,22700.0,21863.400390625,56262,22523.849609375
20,2020-06-29,22450.0,22483.849609375,21927.599609375,49397,22341.94921875
21,2020-06-30,22353.849609375,23330.0,22341.94921875,102429,23051.05078125
